O [99, 98]
C [98, 98]
C [97, 98]
C [96, 98]
C [95, 98]
C [94, 98]
C [93, 98]
C [92, 98]
C [91, 98]
C [90, 98]
C [89, 98]
C [88, 98]
C [87, 98]
C [86, 98]
C [85, 98]
C [84, 98]
C [83, 98]
C [82, 98]
C [81, 98]
C [80, 98]
C [79, 98]
C [78, 98]
C [77, 98]
C [76, 98]
C [75, 98]
C [74, 98]
C [73, 98]
C [72, 98]
C [71, 98]
C [70, 98]
C [69, 98]
C [68, 98]
C [67, 98]
C [66, 98]
C [65, 98]
C [64, 98]
C [63, 98]
C [62, 98]
C [61, 98]
C [60, 98]
C [59, 98]
C [58, 98]
C [57, 98]
C [56, 98]
C [55, 98]
C [54, 98]
C [53, 98]
C [52, 98]
C [51, 98]
C [50, 98]
C [49, 98]
C [48, 98]
C [47, 98]
C [46, 98]
C [45, 98]
C [44, 98]
C [43, 98]
C [42, 98]
C [41, 98]
C [40, 98]
C [39, 98]
C [38, 98]
C [37, 98]
C [36, 98]
C [35, 98]
C [34, 98]
C [33, 98]
C [32, 98]
C [31, 98]
C [30, 98]
C [29, 98]
C [28, 98]
C [27, 98]
C [26, 98]
C [25, 98]
C [24, 98]
C [23, 98]
C [22, 98]
C [21, 98]
C [20, 98]
C [19, 98]
C [18, 98]
C [17, 98]
C [16, 98]
C [15, 98]
C [14, 98]
C [13, 98]
C [12, 98]
C [11, 98]
C [10, 98]
C [9, 98]
C [8, 98]
C [7, 98]
C [6, 98]
C [5, 98]
C [4, 98]
C [3, 98]
E [3, 97]
C [2, 97]
E [2, 96]
E [2, 95]
E [2, 94]
E [2, 93]
E [2, 92]
E [2, 91]
E [2, 90]
E [2, 89]
E [2, 88]
E [2, 87]
E [2, 86]
E [2, 85]
E [2, 84]
E [2, 83]
E [2, 82]
E [2, 81]
E [2, 80]
E [2, 79]
E [2, 78]
E [2, 77]
E [2, 76]
E [2, 75]
E [2, 74]
E [2, 73]
E [2, 72]
E [2, 71]
E [2, 70]
E [2, 69]
E [2, 68]
E [2, 67]
E [2, 66]
E [2, 65]
E [2, 64]
E [2, 63]
E [2, 62]
E [2, 61]
E [2, 60]
E [2, 59]
E [2, 58]
E [2, 57]
E [2, 56]
E [2, 55]
E [2, 54]
E [2, 53]
E [2, 52]
E [2, 51]
E [2, 50]
E [2, 49]
E [2, 48]
E [2, 47]
E [2, 46]
E [2, 45]
E [2, 44]
E [2, 43]
E [2, 42]
E [2, 41]
E [2, 40]
E [2, 39]
E [2, 38]
E [2, 37]
E [2, 36]
E [2, 35]
E [2, 34]
E [2, 33]
E [2, 32]
E [2, 31]
E [2, 30]
E [2, 29]
E [2, 28]
E [2, 27]
E [2, 26]
E [2, 25]
E [2, 24]
E [2, 23]
E [2, 22]
E [2, 21]
E [2, 20]
E [2, 19]
E [2, 18]
E [2, 17]
E [2, 16]
E [2, 15]
E [2, 14]
E [2, 13]
E [2, 12]
E [2, 11]
E [2, 10]
E [2, 9]
E [2, 8]
E [2, 7]
E [2, 6]
E [2, 5]
E [2, 4]
E [2, 3]
E [2, 2]
B [3, 2]
D [3, 3]
D [3, 4]
D [3, 5]
D [3, 6]
D [3, 7]
D [3, 8]
D [3, 9]
D [3, 10]
D [3, 11]
D [3, 12]
D [3, 13]
D [3, 14]
D [3, 15]
D [3, 16]
D [3, 17]
D [3, 18]
D [3, 19]
D [3, 20]
D [3, 21]
D [3, 22]
D [3, 23]
D [3, 24]
D [3, 25]
D [3, 26]
D [3, 27]
D [3, 28]
D [3, 29]
D [3, 30]
D [3, 31]
D [3, 32]
D [3, 33]
D [3, 34]
D [3, 35]
D [3, 36]
D [3, 37]
D [3, 38]
D [3, 39]
D [3, 40]
D [3, 41]
D [3, 42]
D [3, 43]
D [3, 44]
D [3, 45]
D [3, 46]
D [3, 47]
D [3, 48]
D [3, 49]
D [3, 50]
D [3, 51]
D [3, 52]
D [3, 53]
D [3, 54]
D [3, 55]
D [3, 56]
D [3, 57]
D [3, 58]
D [3, 59]
D [3, 60]
D [3, 61]
D [3, 62]
D [3, 63]
D [3, 64]
D [3, 65]
D [3, 66]
D [3, 67]
D [3, 68]
D [3, 69]
D [3, 70]
D [3, 71]
D [3, 72]
D [3, 73]
D [3, 74]
D [3, 75]
D [3, 76]
D [3, 77]
D [3, 78]
D [3, 79]
D [3, 80]
D [3, 81]
D [3, 82]
D [3, 83]
D [3, 84]
D [3, 85]
D [3, 86]
D [3, 87]
D [3, 88]
D [3, 89]
D [3, 90]
D [3, 91]
D [3, 92]
D [3, 93]
D [3, 94]
D [3, 95]
D [3, 96]
B [4, 96]
E [4, 95]
E [4, 94]
E [4, 93]
E [4, 92]
E [4, 91]
E [4, 90]
E [4, 89]
E [4, 88]
E [4, 87]
E [4, 86]
E [4, 85]
E [4, 84]
E [4, 83]
E [4, 82]
E [4, 81]
E [4, 80]
E [4, 79]
E [4, 78]
E [4, 77]
E [4, 76]
E [4, 75]
E [4, 74]
E [4, 73]
E [4, 72]
E [4, 71]
E [4, 70]
E [4, 69]
E [4, 68]
E [4, 67]
E [4, 66]
E [4, 65]
E [4, 64]
E [4, 63]
E [4, 62]
E [4, 61]
E [4, 60]
E [4, 59]
E [4, 58]
E [4, 57]
E [4, 56]
E [4, 55]
E [4, 54]
E [4, 53]
E [4, 52]
E [4, 51]
E [4, 50]
E [4, 49]
E [4, 48]
E [4, 47]
E [4, 46]
E [4, 45]
E [4, 44]
E [4, 43]
E [4, 42]
E [4, 41]
E [4, 40]
E [4, 39]
E [4, 38]
E [4, 37]
E [4, 36]
E [4, 35]
E [4, 34]
E [4, 33]
E [4, 32]
E [4, 31]
E [4, 30]
E [4, 29]
E [4, 28]
E [4, 27]
E [4, 26]
E [4, 25]
E [4, 24]
E [4, 23]
E [4, 22]
E [4, 21]
E [4, 20]
E [4, 19]
E [4, 18]
E [4, 17]
E [4, 16]
E [4, 15]
E [4, 14]
E [4, 13]
E [4, 12]
E [4, 11]
E [4, 10]
E [4, 9]
E [4, 8]
E [4, 7]
E [4, 6]
E [4, 5]
E [4, 4]
E [4, 3]
E [4, 2]
B [5, 2]
D [5, 3]
D [5, 4]
D [5, 5]
D [5, 6]
D [5, 7]
D [5, 8]
D [5, 9]
D [5, 10]
D [5, 11]
D [5, 12]
D [5, 13]
D [5, 14]
D [5, 15]
D [5, 16]
D [5, 17]
D [5, 18]
D [5, 19]
D [5, 20]
D [5, 21]
D [5, 22]
D [5, 23]
D [5, 24]
D [5, 25]
D [5, 26]
D [5, 27]
D [5, 28]
D [5, 29]
D [5, 30]
D [5, 31]
D [5, 32]
D [5, 33]
D [5, 34]
D [5, 35]
D [5, 36]
D [5, 37]
D [5, 38]
D [5, 39]
D [5, 40]
D [5, 41]
D [5, 42]
D [5, 43]
D [5, 44]
D [5, 45]
D [5, 46]
D [5, 47]
D [5, 48]
D [5, 49]
D [5, 50]
D [5, 51]
D [5, 52]
D [5, 53]
D [5, 54]
D [5, 55]
D [5, 56]
D [5, 57]
D [5, 58]
D [5, 59]
D [5, 60]
D [5, 61]
D [5, 62]
D [5, 63]
D [5, 64]
D [5, 65]
D [5, 66]
D [5, 67]
D [5, 68]
D [5, 69]
D [5, 70]
D [5, 71]
D [5, 72]
D [5, 73]
D [5, 74]
D [5, 75]
D [5, 76]
D [5, 77]
D [5, 78]
D [5, 79]
D [5, 80]
D [5, 81]
D [5, 82]
D [5, 83]
D [5, 84]
D [5, 85]
D [5, 86]
D [5, 87]
D [5, 88]
D [5, 89]
D [5, 90]
D [5, 91]
D [5, 92]
D [5, 93]
D [5, 94]
D [5, 95]
D [5, 96]
D [5, 97]
C [4, 97]
B [5, 97]
B [6, 97]
E [6, 96]
E [6, 95]
E [6, 94]
E [6, 93]
E [6, 92]
E [6, 91]
E [6, 90]
E [6, 89]
E [6, 88]
E [6, 87]
E [6, 86]
E [6, 85]
E [6, 84]
E [6, 83]
E [6, 82]
E [6, 81]
E [6, 80]
E [6, 79]
E [6, 78]
E [6, 77]
E [6, 76]
E [6, 75]
E [6, 74]
E [6, 73]
E [6, 72]
E [6, 71]
E [6, 70]
E [6, 69]
E [6, 68]
E [6, 67]
E [6, 66]
E [6, 65]
E [6, 64]
E [6, 63]
E [6, 62]
E [6, 61]
E [6, 60]
E [6, 59]
E [6, 58]
E [6, 57]
E [6, 56]
E [6, 55]
E [6, 54]
E [6, 53]
E [6, 52]
E [6, 51]
E [6, 50]
E [6, 49]
E [6, 48]
